year,month,date_of_month,day_of_week,Date,births
2000,1,1,6,1/1/2000,9083
2000,1,2,7,1/2/2000,8006
2000,1,3,1,1/3/2000,11363
2000,1,4,2,1/4/2000,13032
2000,1,5,3,1/5/2000,12558
2000,1,6,4,1/6/2000,12466
2000,1,7,5,1/7/2000,12516
2000,1,8,6,1/8/2000,8934
2000,1,9,7,1/9/2000,7949
2000,1,10,1,1/10/2000,11668
2000,1,11,2,1/11/2000,12611
2000,1,12,3,1/12/2000,12398
2000,1,13,4,1/13/2000,11815
2000,1,14,5,1/14/2000,12180
2000,1,15,6,1/15/2000,8525
2000,1,16,7,1/16/2000,7657
2000,1,17,1,1/17/2000,10824
2000,1,18,2,1/18/2000,12350
2000,1,19,3,1/19/2000,12405
2000,1,20,4,1/20/2000,12506
2000,1,21,5,1/21/2000,11953
2000,1,22,6,1/22/2000,8855
2000,1,23,7,1/23/2000,7856
2000,1,24,1,1/24/2000,11449
2000,1,25,2,1/25/2000,12593
2000,1,26,3,1/26/2000,12143
2000,1,27,4,1/27/2000,12408
2000,1,28,5,1/28/2000,11934
2000,1,29,6,1/29/2000,8805
2000,1,30,7,1/30/2000,7764
2000,1,31,1,1/31/2000,11133
2000,2,1,2,2/1/2000,12614
2000,2,2,3,2/2/2000,12465
2000,2,3,4,2/3/2000,12062
2000,2,4,5,2/4/2000,12035
2000,2,5,6,2/5/2000,8624
2000,2,6,7,2/6/2000,7862
2000,2,7,1,2/7/2000,11630
2000,2,8,2,2/8/2000,12879
2000,2,9,3,2/9/2000,12315
2000,2,10,4,2/10/2000,12612
2000,2,11,5,2/11/2000,12411
2000,2,12,6,2/12/2000,8836
2000,2,13,7,2/13/2000,7933
2000,2,14,1,2/14/2000,12152
2000,2,15,2,2/15/2000,13017
2000,2,16,3,2/16/2000,12504
2000,2,17,4,2/17/2000,12520
2000,2,18,5,2/18/2000,12406
2000,2,19,6,2/19/2000,8861
2000,2,20,7,2/20/2000,7943
2000,2,21,1,2/21/2000,10610
2000,2,22,2,2/22/2000,12664
2000,2,23,3,2/23/2000,12252
2000,2,24,4,2/24/2000,12423
2000,2,25,5,2/25/2000,12204
2000,2,26,6,2/26/2000,9026
2000,2,27,7,2/27/2000,7836
2000,2,28,1,2/28/2000,11455
2000,2,29,2,2/29/2000,11895
2000,3,1,3,3/1/2000,12672
2000,3,2,4,3/2/2000,12524
2000,3,3,5,3/3/2000,12390
2000,3,4,6,3/4/2000,9054
2000,3,5,7,3/5/2000,7734
2000,3,6,1,3/6/2000,11375
2000,3,7,2,3/7/2000,12420
2000,3,8,3,3/8/2000,12338
2000,3,9,4,3/9/2000,12615
2000,3,10,5,3/10/2000,12152
2000,3,11,6,3/11/2000,8822
2000,3,12,7,3/12/2000,7937
2000,3,13,1,3/13/2000,11157
2000,3,14,2,3/14/2000,12773
2000,3,15,3,3/15/2000,12428
2000,3,16,4,3/16/2000,12431
2000,3,17,5,3/17/2000,12385
2000,3,18,6,3/18/2000,8677
2000,3,19,7,3/19/2000,7782
2000,3,20,1,3/20/2000,11595
2000,3,21,2,3/21/2000,12689
2000,3,22,3,3/22/2000,12272
2000,3,23,4,3/23/2000,12396
2000,3,24,5,3/24/2000,12327
2000,3,25,6,3/25/2000,9155
2000,3,26,7,3/26/2000,7815
2000,3,27,1,3/27/2000,11291
2000,3,28,2,3/28/2000,12650
2000,3,29,3,3/29/2000,12077
2000,3,30,4,3/30/2000,12071
2000,3,31,5,3/31/2000,11820
2000,4,1,6,4/1/2000,8388
2000,4,2,7,4/2/2000,7540
2000,4,3,1,4/3/2000,11397
2000,4,4,2,4/4/2000,12797
2000,4,5,3,4/5/2000,12209
2000,4,6,4,4/6/2000,12192
2000,4,7,5,4/7/2000,12213
2000,4,8,6,4/8/2000,8743
